                      w1           w2           w3           w4           w5           w6
O2_3726A_b   3715.725254  3718.471457  3718.514458  3740.469352  3740.640287  3747.086190
H1_3750A     3664.503848  3675.720417  3746.433569  3756.674784  3775.220000  3792.040000
H1_3771A     3759.191222  3767.280375  3767.467189  3775.787336  3776.807987  3782.905843
H1_3798A     3780.949179  3792.078244  3793.707971  3803.676860  3807.127865  3816.774280
H1_3835A     3823.148476  3829.538777  3831.331855  3840.896149  3844.260000  3852.830000
Ne3_3869A    3848.429950  3858.099497  3862.724063  3876.597761  3895.538694  3910.048413
H1_3889A_m   3842.087829  3861.282614  3880.390000  3899.420000  3905.000000  3950.000000
H1_3970A     3945.566344  3957.862489  3962.153343  3976.592758  3979.317175  3989.942405
He1_4026A    4013.837737  4021.250734  4021.502052  4032.149534  4033.154014  4040.185370
H1_4102A     4084.633589  4093.799103  4095.935564  4108.433334  4110.113141  4119.294537
H1_4341A     4322.549217  4332.509864  4333.660230  4347.675999  4350.262697  4360.488238
O3_4363A     4297.700000  4323.660000  4356.886082  4372.721331  4390.760000  4416.200000
He1_4471A    4451.913360  4465.069336  4467.196330  4477.442236  4480.772156  4496.909458
Ar4_4711A_m  4664.639652  4680.894598  4707.992152  4720.882185  4723.932671  4738.660669
Ar4_4740A    4605.870000  4635.300000  4731.467840  4748.658238  4757.090000  4776.100000
H1_4861A     4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000
He1_4922A    4905.736141  4916.176415  4917.632529  4928.081261  4930.590000  4939.710000
O3_4959A     4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360
O3_5007A     4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081
He1_5048A    5027.570000  5035.130000  5037.543391  5046.860450  5060.810000  5072.900000
He1_5876A    5845.715833  5865.712378  5867.148419  5885.578291  5888.378245  5901.854752
O1_6300A     6282.963147  6293.637954  6294.754436  6307.155360  6319.711710  6327.945925
S3_6312A     6280.559495  6295.351299  6307.225753  6319.552583  6321.428405  6328.663719
H1_6563A_b   6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000
He1_6678A    6659.110795  6670.102081  6670.734647  6688.067396  6689.800671  6698.178167
S2_6716A     6686.785257  6706.310255  6707.458647  6725.466528  6744.438091  6759.956250
S2_6731A     6686.785257  6706.310255  6725.458647  6741.466528  6744.438091  6759.956250
He1_7065A    7029.100000  7041.640000  7055.220000  7079.440000  7087.490000  7104.450000
Ar3_7136A    7099.804897  7122.016894  7129.546717  7145.645711  7149.984073  7166.354990
He1_7281A    7266.178301  7275.825551  7276.872528  7287.327321  7293.561672  7303.734359
O2_7319A_b   7294.873033  7310.151519  7311.373798  7338.569503  7340.444100  7357.066344
Ar3_7751A    7731.458685  7743.423077  7744.234222  7759.848767  7759.955932  7770.429591
H1_9015A     8975.870000  9001.890000  9009.997734  9023.899851  9029.944250  9048.681886
S3_9069A     9028.280000  9056.360000  9057.861172  9081.241507  9083.325784  9100.603298
H1_9229A     9204.503433  9221.674676  9222.628281  9238.719001  9239.094777  9251.786565
S3_9531A     9471.122554  9489.978978  9516.201346  9556.330603  9569.193420  9600.501253
